neighbourhood,population,population_age_20_34,share_age_20_34,population_international_background,share_international_background,families_total,families_with_children,share_families_with_children,demographic_source,data_mode
Amager Vest,92300,31918,0.345807150595883,24850,0.2692307692307692,54657,11837,0.21656878350440018,KK Statistikbank,official_demographics
Amager Øst,64254,23412,0.3643664207675787,12407,0.19309303700936906,39771,7548,0.1897865278720676,KK Statistikbank,official_demographics
Bispebjerg,55985,21774,0.38892560507278734,12612,0.22527462713226756,36496,6025,0.16508658483121438,KK Statistikbank,official_demographics
Brønshøj-Husum,44975,10508,0.2336409116175653,10563,0.23486381322957198,24012,6567,0.273488255872064,KK Statistikbank,official_demographics
Indre By,58224,20252,0.347829073921407,11503,0.1975645781808189,37503,6090,0.16238700903927686,KK Statistikbank,official_demographics
Nørrebro,79779,32925,0.41270259090738165,13652,0.17112272653204477,50933,9184,0.18031531619971336,KK Statistikbank,official_demographics
Valby,66321,23533,0.3548348185340993,14383,0.21686946819257852,39438,8389,0.21271362645164563,KK Statistikbank,official_demographics
Vanløse,40847,11848,0.2900580213969202,5326,0.13038901265698827,23694,5244,0.22132185363383136,KK Statistikbank,official_demographics
Vesterbro/Kongens Enghave,85072,30375,0.35705049840135417,19282,0.2266550686477337,52234,10619,0.2032967032967033,KK Statistikbank,official_demographics
Østerbro,82115,27469,0.3345186628508799,13182,0.16053096267429823,50292,9920,0.1972480712638193,KK Statistikbank,official_demographics
