osm_type,osm_id,category,name,lat,lon,source_key,source_value,neighbourhood,district,distance_to_neighbourhood_km,osm_assignment_method,osm_outside_boundary_count
node,24958713,pub,Ølbaren,55.6892753,12.5578754,amenity,pub,Nørrebro,Nørrebro,0.0,official_boundary_point_in_polygon,2906
node,24971137,restaurant,Juma,55.690348,12.5640201,amenity,restaurant,Nørrebro,Nørrebro,0.0,official_boundary_point_in_polygon,2906
node,25440190,cinema,Empire Bio,55.691954,12.555818,amenity,cinema,Nørrebro,Nørrebro,0.0,official_boundary_point_in_polygon,2906
node,25440922,pub,Bankeråt,55.6834082,12.5651843,amenity,pub,Indre By,Indre By,0.0,official_boundary_point_in_polygon,2906
node,25869217,bar,Black Swan,55.6864894,12.5874331,amenity,bar,Indre By,Indre By,0.0,official_boundary_point_in_polygon,2906
node,25904721,bar,Café Viking,55.6996104,12.5467101,amenity,bar,Nørrebro,Nørrebro,0.0,official_boundary_point_in_polygon,2906
node,31269448,toilets,,55.7220522,12.5229858,amenity,toilets,Bispebjerg,Bispebjerg,0.0,official_boundary_point_in_polygon,2906
node,80236826,bench,,55.6932664,12.5128241,amenity,bench,Vanløse,Vanløse,0.0,official_boundary_point_in_polygon,2906
node,115167440,restaurant,Ingolfs Kaffebar,55.6501334,12.6119742,amenity,restaurant,Amager Vest,Amager Vest,0.0,official_boundary_point_in_polygon,2906
node,137534794,restaurant,Rio Bravo,55.6742501,12.5730625,amenity,restaurant,Indre By,Indre By,0.0,official_boundary_point_in_polygon,2906
node,247089822,toilets,,55.6629834,12.6385889,amenity,toilets,Amager Øst,Amager Øst,0.0,official_boundary_point_in_polygon,2906
node,247090013,toilets,,55.6582905,12.6429036,amenity,toilets,Amager Øst,Amager Øst,0.0,official_boundary_point_in_polygon,2906
node,247090041,toilets,,55.6545374,12.6493056,amenity,toilets,Amager Øst,Amager Øst,0.0,official_boundary_point_in_polygon,2906
node,250354071,nightclub,Kakadu Bar,55.6727304,12.5616092,amenity,nightclub,Vesterbro-Kongens Enghave,Vesterbro-Kongens Enghave,0.0,official_boundary_point_in_polygon,2906
node,269264421,restaurant,Sticks'n'Sushi,55.6697106,12.5547131,amenity,restaurant,Vesterbro-Kongens Enghave,Vesterbro-Kongens Enghave,0.0,official_boundary_point_in_polygon,2906
node,272860527,supermarket,Netto,55.655972,12.4854155,shop,supermarket,Valby,Valby,0.0,official_boundary_point_in_polygon,2906
node,272860703,supermarket,Netto,55.6432347,12.501348,shop,supermarket,Valby,Valby,0.0,official_boundary_point_in_polygon,2906
node,277363233,cinema,Nordisk Film Biografer Imperial,55.6752481,12.5612896,amenity,cinema,Indre By,Indre By,0.0,official_boundary_point_in_polygon,2906
node,277363249,cinema,Dagmar,55.6763516,12.5664052,amenity,cinema,Indre By,Indre By,0.0,official_boundary_point_in_polygon,2906
node,277365064,library,Brønshøj Bibliotek,55.7041757,12.4992001,amenity,library,Brønshøj-Husum,Brønshøj-Husum,0.0,official_boundary_point_in_polygon,2906
node,277365310,library,Husum Bibliotek,55.7108103,12.4772025,amenity,library,Brønshøj-Husum,Brønshøj-Husum,0.0,official_boundary_point_in_polygon,2906
node,277633635,cinema,Vester Vov Vov,55.6719838,12.5540534,amenity,cinema,Vesterbro-Kongens Enghave,Vesterbro-Kongens Enghave,0.0,official_boundary_point_in_polygon,2906
node,277634020,cinema,Vue,55.6624522,12.5631317,amenity,cinema,Vesterbro-Kongens Enghave,Vesterbro-Kongens Enghave,0.0,official_boundary_point_in_polygon,2906
node,278113654,cinema,Grand Teatret,55.6764656,12.5710077,amenity,cinema,Indre By,Indre By,0.0,official_boundary_point_in_polygon,2906
node,278113776,cinema,Gloria,55.6761121,12.5706741,amenity,cinema,Indre By,Indre By,0.0,official_boundary_point_in_polygon,2906
node,279108763,library,Vanløse Bibliotek,55.6866031,12.4914391,amenity,library,Vanløse,Vanløse,0.0,official_boundary_point_in_polygon,2906
node,279183613,cafe,Cafe Bopa,55.7052359,12.581411,amenity,cafe,Østerbro,Østerbro,0.0,official_boundary_point_in_polygon,2906
node,279183730,restaurant,Kafe Kapers,55.7050842,12.5768017,amenity,restaurant,Østerbro,Østerbro,0.0,official_boundary_point_in_polygon,2906
